Chapter,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01,23,19,14,16,12,14,15,20,15,14,14,31,0,14,13,0,2,2,11,1,10,13,13,1
02,11,15,15,13,13,12,14,15,15,13,16,18,18,21,19,17,1,1,16,0,10,11,10,0
03,22,20,20,21,15,20,24,25,20,23,21,21,18,21,22,22,1,1,15,0,15,15,15,1
04,4,5,7,11,11,14,14,12,17,14,13,13,11,10,12,10,0,0,6,0,5,5,5,0
05,23,38,49,43,0,30,33,34,40,39,46,57,49,59,60,67,1,0,46,1,39,35,35,0
06,6,8,7,7,13,15,14,7,0,16,20,19,25,25,19,18,1,1,7,0,4,4,4,0
07,32,27,25,24,24,24,30,34,29,33,35,41,29,35,33,33,0,0,36,0,11,11,11,5
08,29,29,31,40,36,36,33,41,39,43,36,38,40,42,38,44,0,0,43,0,40,35,35,2
09,17,17,17,0,19,21,22,22,21,24,21,31,18,25,26,22,0,0,20,0,17,17,17,1
10,10,21,24,21,18,23,20,18,21,25,28,25,24,26,29,0,1,0,22,0,21,19,19,0
11,9,9,11,0,5,6,7,8,7,7,5,6,6,6,6,6,0,0,5,0,5,5,5,2
12,25,26,27,31,23,33,35,42,41,43,50,59,43,45,52,52,1,1,44,1,39,40,40,4
13,20,21,19,20,20,22,24,23,23,34,28,36,33,36,39,40,1,1,38,0,29,27,27,2
14,34,35,36,38,28,38,37,43,45,39,44,55,60,10,42,45,1,2,36,2,26,26,28,6
15,8,8,5,5,5,4,8,10,11,9,12,15,14,0,12,0,0,0,0,0,0,0,0,0
